SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1773751100.932890, , , , , , , , , 
1773751100.942513, , , , , , , , , 
1773751100.952982, 0.242114, 0.010774, -9.672126, 0.009927, -0.035284, 0.002697, 185.804108, -7.599945, 29.871109
1773751100.962756, 0.218022, 0.011672, -9.936984, 0.020382, -0.015021, 0.004146, 185.773880, -7.534210, 29.945099
1773751100.972463, 0.224456, 0.019154, -10.078691, 0.010086, -0.005782, 0.004665, 185.709915, -7.578720, 29.703949
1773751100.982356, 0.223708, 0.012719, -9.981576, -0.003032, -0.008057, 0.005799, 185.565659, -7.566696, 29.964066
1773751100.992941, 0.218920, -0.002245, -9.868151, -0.008003, -0.012200, 0.003536, 185.764130, -7.523514, 29.965363
1773751101.002915, 0.212785, 0.000898, -9.811438, -0.002528, -0.010953, 0.000745, 185.558563, -7.399872, 29.848724
1773751101.012913, 0.208744, 0.014515, -9.728539, -0.000446, 0.043579, 0.001982, 185.444427, -7.444931, 29.954773
1773751101.022471, 0.176423, 0.013318, -9.651476, 0.009158, 0.075688, 0.001283, 185.750717, -7.655594, 30.157486
1773751101.032911, 0.214431, 0.029479, -9.752780, -0.001290, 0.060236, 0.003789, 185.848206, -7.716797, 30.073303
1773751101.042904, 0.242563, -0.004040, -9.729287, 0.010493, 0.004920, 0.000933, 185.737579, -7.671936, 29.925461
1773751101.052902, 0.272041, 0.012719, -9.815179, 0.007568, -0.054352, 0.005143, 185.898865, -7.746902, 30.204254
1773751101.062892, 0.269048, 0.012869, -9.844508, 0.008585, -0.079895, 0.006969, 185.917770, -7.511948, 30.127899
1773751101.072478, 0.231938, 0.006584, -9.887604, 0.005183, -0.054461, 0.003066, 185.722061, -7.671875, 29.899628
1773751101.082905, 0.202011, 0.007183, -9.924714, -0.004744, -0.021986, 0.003338, 185.538040, -7.589584, 30.113220
1773751101.092892, 0.202909, -0.006135, -9.830592, -0.005647, -0.021515, 0.003342, 185.541763, -7.857971, 30.057266
1773751101.102912, 0.203208, -0.002693, -9.829245, 0.008146, -0.059497, 0.003346, 185.595230, -7.615738, 30.048431
1773751101.112902, 0.211288, 0.021847, -9.861717, 0.004331, -0.108209, 0.003185, 185.637787, -7.612686, 30.066589
1773751101.122506, 0.243011, -0.006434, -9.695769, 0.002367, -0.109624, 0.004514, 185.606522, -7.500961, 30.291550
1773751101.132908, 0.195127, -0.013467, -9.690232, -0.010894, -0.040926, 0.003330, 185.322556, -7.637146, 30.098282
1773751101.142897, 0.136170, -0.010924, -9.830891, -0.000399, 0.030616, 0.001909, 185.404877, -7.667343, 30.061859
1773751101.152926, 0.126444, 0.002394, -9.902119, 0.014992, 0.025493, 0.001170, 185.401352, -7.589996, 30.044693
1773751101.162903, 0.172682, 0.024840, -9.888951, 0.029616, -0.007144, 0.004914, 185.582062, -7.538086, 30.510239
1773751101.172519, 0.194679, 0.008829, -9.772832, 0.035902, 0.020151, 0.006041, 185.382034, -7.629440, 30.257156
1773751101.182903, 0.149039, -0.004489, -9.726594, 0.015128, 0.066269, 0.002013, 185.485489, -7.532913, 29.947479
1773751101.192888, 0.162955, -0.029628, -9.700258, -0.004366, 0.093872, 0.002718, 185.490051, -7.588028, 30.108612
1773751101.202322, 0.173879, -0.019154, -9.790788, -0.008105, 0.091690, 0.000912, 185.490051, -7.588028, 30.108612
1773751101.212534, 0.191386, -0.004040, -9.896283, -0.012525, 0.061364, 0.002177, 185.547928, -7.821411, 29.789993
1773751101.222539, 0.222361, 0.002245, -9.933243, -0.017785, 0.021666, 0.005177, 185.589569, -7.455765, 30.047058
1773751101.232888, 0.241515, -0.009427, -9.876830, -0.030983, 0.017725, 0.003837, 185.544495, -7.539688, 29.907272
1773751101.242900, 0.206201, -0.013767, -9.887454, -0.035786, 0.023877, 0.001036, 185.582504, -7.592026, 30.000259
1773751101.252896, 0.199766, -0.011073, -9.858574, -0.023379, 0.009149, -0.000853, 185.514038, -7.577957, 30.045349
1773751101.262889, 0.228048, 0.021398, -9.810541, -0.000183, -0.005217, 0.003312, 185.472733, -7.583893, 29.906479
1773751101.272548, 0.237924, 0.024241, -9.792285, 0.010543, -0.037949, 0.004574, 185.685196, -7.517426, 30.077515
1773751101.282896, 0.217573, 0.028132, -9.762956, 0.015458, -0.014099, 0.001499, 185.546219, -7.688049, 29.909439
1773751101.292886, 0.202909, 0.009278, -9.749937, -0.000181, 0.034576, 0.003066, 185.531418, -7.506165, 29.682617
1773751101.302899, 0.167145, 0.001796, -9.657312, -0.012803, 0.024069, 0.001089, 185.511841, -7.462677, 29.655930
1773751101.312121, 0.220566, -0.000150, -9.661053, -0.014815, -0.017508, 0.000895, 185.827118, -7.616592, 29.788803
1773751101.322582, 0.231639, -0.002693, -9.736021, -0.005973, -0.013006, 0.001909, 185.562119, -7.546799, 30.119156
1773751101.331965, 0.206650, 0.018555, -9.867702, -0.005973, -0.013006, 0.001909, 185.726608, -7.686066, 29.948608
1773751101.342897, 0.196923, -0.002693, -9.877129, -0.009810, 0.019366, 0.004755, 185.730606, -7.731125, 30.012878
1773751101.352898, 0.191985, -0.013767, -9.843012, -0.017154, 0.015699, 0.000727, 185.406418, -7.515060, 29.973022
1773751101.362891, 0.219518, 0.000748, -9.866655, -0.008710, 0.016478, 0.001550, 185.907486, -7.482330, 29.951218
1773751101.372616, 0.199467, 0.024241, -9.889549, -0.011946, 0.000866, 0.002461, 185.673660, -7.385422, 29.851852
1773751101.382887, 0.220865, 0.015263, -9.827300, -0.007735, -0.002814, 0.001234, 185.608337, -7.510498, 29.880966
1773751101.392688, 0.222062, 0.011372, -9.857676, -0.009990, 0.007563, 0.001365, 185.565872, -7.642273, 30.079712
1773751101.402895, 0.205602, 0.021997, -9.826552, -0.012180, 0.005967, 0.002141, 185.567215, -7.380554, 30.004959
1773751101.412881, 0.200065, 0.020500, -9.802011, -0.012604, -0.008147, 0.003546, 185.578461, -7.342712, 29.950180
