SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1773750505.036739, , , , , , , , , 
1773750505.046760, , , , , , , , , 
1773750505.056754, 0.136619, -0.098910, -9.814431, 0.000458, 0.018296, 0.003378, 229.030945, -35.612732, 29.037064
1773750505.065813, 0.111779, -0.107141, -9.812785, -0.003344, 0.014030, 0.003888, 228.920227, -35.486252, 28.775986
1773750505.076755, 0.143502, -0.105345, -9.801562, 0.001211, 0.005619, 0.004263, 228.913712, -35.506500, 28.703827
1773750505.086767, 0.130484, -0.117914, -9.795427, 0.001990, -0.004999, 0.003176, 228.997177, -35.554596, 28.766907
1773750505.096823, 0.136469, -0.102651, -9.790340, 0.000390, -0.018021, 0.004672, 228.848129, -35.545578, 28.722672
1773750505.106773, 0.130334, -0.096217, -9.796475, -0.000995, -0.018691, 0.001745, 229.012299, -35.580017, 28.938446
1773750505.115923, 0.143802, -0.113276, -9.821015, -0.002302, -0.015638, 0.002963, 228.954315, -35.484085, 28.577667
1773750505.126758, 0.123750, -0.103400, -9.814132, -0.001971, -0.009062, 0.005595, 229.030487, -35.762619, 28.613297
1773750505.136751, 0.112527, -0.109984, -9.807697, -0.001353, -0.004442, 0.001978, 228.952499, -35.653809, 28.650131
1773750505.146774, 0.118363, -0.098013, -9.817574, -0.000728, -0.001512, 0.001528, 228.869965, -35.558945, 29.051285
1773750505.156901, 0.118513, -0.110283, -9.805303, -0.000746, 0.003692, 0.001957, 228.869965, -35.558945, 29.051285
1773750505.166813, 0.126444, -0.106243, -9.823409, 0.000940, -0.005277, 0.002113, 228.754898, -35.656052, 28.796997
1773750505.176757, 0.123002, -0.099808, -9.811438, 0.001078, 0.003595, -0.000002, 228.979172, -35.578888, 28.411728
1773750505.186956, 0.130334, -0.093374, -9.817723, -0.003329, 0.007792, 0.001361, 228.922546, -35.563446, 28.819412
1773750505.196884, 0.126743, -0.099060, -9.821464, -0.001148, -0.004948, 0.002974, 228.953949, -35.658585, 28.836746
1773750505.206156, 0.140809, -0.106991, -9.805303, 0.000879, -0.012135, 0.002261, 229.017029, -35.660553, 28.730774
1773750505.215800, 0.125696, -0.110133, -9.820417, -0.001289, -0.009808, 0.003045, 228.782227, -35.656204, 28.254578
1773750505.226782, 0.125247, -0.101305, -9.819818, -0.003131, -0.002406, 0.002096, 228.845718, -35.536636, 28.626419
1773750505.236745, 0.111330, -0.093224, -9.825654, -0.005523, 0.002705, 0.002215, 228.838623, -35.551010, 28.846039
1773750505.246902, 0.113276, -0.111630, -9.825355, -0.001529, 0.002078, 0.002177, 228.983398, -35.627838, 28.778107
1773750505.256809, 0.108936, -0.107141, -9.802460, 0.000188, -0.004366, 0.001547, 228.800674, -35.417603, 28.854324
1773750505.265763, 0.112228, -0.109385, -9.809493, -0.001910, -0.002422, 0.002231, 228.897247, -35.550156, 28.520172
1773750505.276943, 0.095768, -0.101005, -9.824158, -0.001450, 0.004142, 0.003209, 228.919434, -35.567657, 28.907791
1773750505.286757, 0.111630, -0.109086, -9.814730, -0.000918, 0.011506, 0.004757, 228.912537, -35.582596, 28.799271
1773750505.296898, 0.118513, -0.104447, -9.800814, -0.000999, 0.010181, 0.002948, 228.898499, -35.370468, 28.759583
1773750505.306930, 0.092326, -0.099509, -9.811438, -0.002201, 0.012615, 0.002635, 228.763245, -35.312256, 28.940018
1773750505.315979, 0.106093, -0.102801, -9.811438, 0.000229, 0.006508, 0.004026, 228.646240, -35.374405, 28.602478
1773750505.326947, 0.128389, -0.112378, -9.813533, -0.001035, 0.000981, 0.003145, 228.935623, -35.550232, 28.779312
1773750505.336765, 0.102502, -0.098910, -9.818471, -0.001981, 0.006546, 0.003430, 228.774124, -35.673080, 28.881668
1773750505.346771, 0.105794, -0.105644, -9.799617, -0.001162, 0.001831, 0.002438, 228.756531, -35.406265, 28.804688
1773750505.356824, 0.116867, -0.104746, -9.812935, -0.003657, -0.000582, 0.000917, 228.865936, -35.430756, 28.641998
1773750505.365903, 0.098611, -0.102951, -9.807997, -0.000029, 0.002627, 0.003959, 228.653748, -35.350845, 28.640366
1773750505.376773, 0.107739, -0.120458, -9.812935, 0.000124, 0.010403, 0.001884, 228.764160, -35.403839, 28.580811
1773750505.386777, 0.084845, -0.102053, -9.808446, 0.000030, 0.005936, 0.003015, 228.718323, -35.411530, 28.645416
1773750505.396810, 0.117316, -0.094870, -9.806949, 0.001343, 0.005699, 0.004046, 228.700378, -35.531845, 28.811234
1773750505.406752, 0.121805, -0.104148, -9.819369, 0.000265, -0.001052, 0.004741, 228.971710, -35.500092, 28.850815
1773750505.415848, 0.125696, -0.108637, -9.807697, -0.003221, -0.004538, 0.002263, 228.790024, -35.671844, 28.824631
1773750505.425888, 0.123002, -0.106093, -9.820417, 0.000141, -0.003672, 0.002524, 228.790024, -35.671844, 28.824631
1773750505.436618, 0.109834, -0.107889, -9.804555, -0.003634, -0.003404, 0.001915, 228.827713, -35.567810, 28.643600
