SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1773750930.322219, , , , , , , , , 
1773750930.332208, , , , , , , , , 
1773750930.341986, -0.026635, -0.100706, -9.798121, -0.002033, 0.004094, 0.000964, 228.611801, -38.546143, 25.427048
1773750930.352266, -0.021249, -0.099359, -9.799318, -0.003409, 0.003144, 0.002671, 228.566589, -38.481277, 25.746536
1773750930.361565, -0.021398, -0.098462, -9.816077, 0.000318, 0.002927, 0.003429, 228.659454, -38.389023, 25.880371
1773750930.371484, -0.027234, -0.100257, -9.806201, -0.000432, 0.010282, 0.001348, 228.659454, -38.389023, 25.880371
1773750930.382211, -0.025588, -0.095020, -9.816376, -0.002463, 0.007389, 0.001096, 228.734528, -38.528564, 25.589188
1773750930.391913, -0.021099, -0.099210, -9.813683, -0.002638, 0.005409, 0.003466, 228.734528, -38.528564, 25.589188
1773750930.401300, -0.036811, -0.106542, -9.799767, -0.000136, 0.005175, 0.004419, 228.624146, -38.612442, 25.449448
1773750930.411561, -0.035314, -0.101903, -9.805752, -0.001411, 0.005286, 0.003124, 228.666367, -38.463394, 25.695343
1773750930.422223, -0.045340, -0.092027, -9.821614, -0.000256, 0.006788, 0.003496, 228.607864, -38.542755, 25.764923
1773750930.432234, -0.029479, -0.102053, -9.811588, -0.000014, 0.005146, 0.003169, 228.680679, -38.475128, 25.787796
1773750930.442007, -0.025289, -0.105495, -9.803508, 0.003569, 0.012712, 0.002830, 228.721283, -38.541611, 25.817627
1773750930.451344, -0.033070, -0.098312, -9.819519, -0.000967, 0.012202, 0.003438, 228.618698, -38.482025, 25.904129
1773750930.461564, -0.015712, -0.099210, -9.808595, -0.000309, 0.005669, 0.005112, 228.738739, -38.513046, 25.769333
1773750930.472251, -0.025588, -0.086640, -9.826253, -0.001247, 0.010389, 0.000540, 228.708618, -38.465942, 25.629135
1773750930.482213, -0.032022, -0.097115, -9.797522, 0.000475, 0.006811, 0.002589, 228.758011, -38.662903, 25.638824
1773750930.491909, -0.030526, -0.080655, -9.808745, -0.001962, 0.007189, 0.002019, 228.722031, -38.544662, 25.654846
1773750930.502256, -0.031125, -0.070479, -9.832388, -0.000575, 0.007292, 0.001726, 228.615768, -38.687149, 25.854599
1773750930.511569, -0.036811, -0.102502, -9.806949, 0.001067, 0.004784, 0.003530, 228.725006, -38.460754, 25.671158
1773750930.522099, -0.026187, -0.107739, -9.795427, -0.002297, 0.002073, 0.002104, 228.575073, -38.449463, 25.976044
1773750930.532227, -0.036362, -0.093673, -9.811438, -0.001376, 0.009778, 0.002078, 228.605804, -38.487473, 25.935806
1773750930.541937, -0.023194, -0.090381, -9.806949, -0.002325, 0.000284, 0.000814, 228.529907, -38.469406, 25.823929
1773750930.551221, -0.025289, -0.095170, -9.804106, -0.003311, 0.004929, 0.003352, 228.645950, -38.570068, 25.819092
1773750930.561612, -0.045490, -0.096666, -9.808146, -0.001378, 0.006735, 0.004670, 228.852386, -38.497604, 25.844666
1773750930.572229, -0.025738, -0.093823, -9.802460, -0.003782, 0.004836, 0.001909, 228.673050, -38.563965, 25.830963
1773750930.582240, -0.042048, -0.100108, -9.810690, -0.002304, 0.002525, 0.003194, 228.854172, -38.518509, 25.653305
1773750930.591923, -0.031125, -0.087688, -9.802610, -0.003239, 0.000237, 0.004088, 228.847839, -38.457031, 25.781067
1773750930.602239, -0.032621, -0.086790, -9.813234, 0.003195, 0.002687, 0.002469, 228.776398, -38.449524, 25.695175
1773750930.611598, -0.041899, -0.095918, -9.822212, -0.002086, -0.002120, 0.004070, 228.609924, -38.531357, 25.848953
