SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1773750745.410269, , , , , , , , , 
1773750745.420268, , , , , , , , , 
1773750745.430288, 0.022895, -0.182857, -9.818621, -0.002066, 0.032945, 0.001063, 196.548889, -27.872879, 31.827621
1773750745.440243, 0.035314, -0.171784, -9.824008, -0.001426, 0.038125, 0.001759, 196.401016, -27.750412, 31.386383
1773750745.450292, 0.014365, -0.177470, -9.819519, -0.004465, 0.002474, 0.001986, 196.452164, -27.807922, 31.584778
1773750745.460285, 0.052672, -0.175974, -9.786898, -0.004646, 0.000273, 0.000838, 196.459335, -27.742218, 31.851990
1773750745.470292, 0.044293, -0.183605, -9.797372, -0.001877, -0.015461, 0.003751, 196.478241, -27.856949, 31.564072
1773750745.479461, 0.021099, -0.168642, -9.828647, -0.004593, -0.034652, 0.004716, 196.171768, -27.553268, 31.787674
1773750745.490250, 0.031723, -0.178817, -9.796175, -0.002619, -0.029792, 0.004925, 196.336487, -27.634827, 31.731796
1773750745.499930, 0.024241, -0.183755, -9.817424, -0.001072, -0.023906, 0.004711, 196.135101, -27.606781, 31.470825
1773750745.510146, 0.013168, -0.177620, -9.824906, -0.000929, -0.011258, 0.003098, 196.318863, -27.591385, 31.743073
1773750745.520278, 0.018854, -0.168941, -9.834932, -0.000943, 0.022744, 0.001780, 196.350754, -27.766876, 31.701889
1773750745.530279, -0.018705, -0.171634, -9.836578, -0.001333, 0.013519, 0.003047, 196.375732, -27.958786, 31.613480
1773750745.540094, 0.009128, -0.179116, -9.820566, -0.002597, -0.003519, 0.002201, 196.349854, -27.907761, 31.852814
1773750745.550276, 0.031723, -0.161908, -9.792135, -0.000965, -0.004050, 0.003563, 196.361465, -27.922409, 31.730911
1773750745.560307, 0.009278, -0.179864, -9.811289, -0.001238, -0.012872, 0.002019, 196.418320, -27.863388, 31.638962
1773750745.570274, 0.030526, -0.173131, -9.803208, -0.002945, -0.027621, 0.003289, 196.418320, -27.863388, 31.638962
1773750745.580280, 0.018705, -0.171185, -9.803508, -0.004501, -0.032744, 0.002958, 196.353317, -27.861481, 31.614319
1773750745.590125, 0.010026, -0.179864, -9.822661, -0.004160, -0.035016, 0.002024, 196.393265, -27.829987, 31.910782
1773750745.600286, 0.010175, -0.175226, -9.809643, -0.003872, -0.050663, 0.002683, 196.212067, -27.808167, 31.676193
1773750745.610163, 0.019603, -0.173729, -9.803358, -0.003108, 0.001767, 0.002062, 196.328430, -27.699600, 31.877274
1773750745.620286, -0.023942, -0.183605, -9.854983, -0.002480, 0.036560, 0.001862, 196.215851, -27.668137, 31.546448
1773750745.630298, -0.029628, -0.173580, -9.842413, -0.002584, 0.003916, 0.003326, 196.168991, -27.748169, 31.744965
1773750745.640127, 0.017358, -0.172532, -9.799018, -0.003525, 0.017347, 0.001842, 196.281036, -27.663010, 31.711319
1773750745.650201, -0.001496, -0.177769, -9.825205, -0.002282, 0.007004, 0.002553, 196.471756, -27.686111, 31.999283
1773750745.660286, 0.011372, -0.179864, -9.830143, 0.000931, -0.000430, 0.004657, 196.560959, -27.840546, 31.849213
