SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ
1772611993.825251, , , , , , 
1772611993.835450, 0.172383, -0.105794, -9.818172, -0.001204, 0.005013, 0.002042
1772611993.844823, 0.186748, -0.110433, -9.815778, -0.000991, 0.008550, 0.000597
1772611993.855343, 0.187795, -0.109086, -9.807548, -0.002149, 0.006054, 0.002482
1772611993.865452, 0.188693, -0.103848, -9.798420, 0.000739, 0.005856, 0.002760
1772611993.875413, 0.180014, -0.101754, -9.815778, 0.001282, 0.008539, 0.001684
1772611993.885393, 0.179864, -0.104447, -9.812636, 0.000956, 0.007318, 0.001443
1772611993.894743, 0.173729, -0.099210, -9.828796, 0.000733, 0.005737, 0.002227
1772611993.905316, 0.189591, -0.098462, -9.817424, -0.000748, 0.005487, 0.002246
1772611993.915417, 0.175974, -0.087837, -9.805004, -0.000724, 0.005289, 0.002675
1772611993.925239, 0.202160, -0.099359, -9.814282, -0.001209, 0.005318, 0.003388
1772611993.935464, 0.199317, -0.106243, -9.811139, -0.004656, 0.006768, 0.004329
1772611993.944774, 0.183755, -0.107440, -9.807249, 0.000177, 0.007423, 0.001765
1772611993.955309, 0.176872, -0.103998, -9.806500, 0.000193, 0.005857, 0.002181
1772611993.965536, 0.185401, -0.097115, -9.801113, -0.000523, 0.005813, 0.004678
1772611993.975417, 0.185251, -0.109684, -9.812336, -0.002076, 0.007319, 0.002630
1772611993.985404, 0.175375, -0.119112, -9.797522, -0.002541, 0.005080, 0.001183
1772611993.994872, 0.188693, -0.110881, -9.816825, -0.002551, 0.006770, 0.000645
1772611994.005331, 0.198120, -0.109086, -9.816376, -0.003763, 0.006319, 0.003696
1772611994.015428, 0.179565, -0.104597, -9.805303, 0.000874, 0.006189, 0.002959
1772611994.025394, 0.183905, -0.108038, -9.810241, 0.001863, 0.007856, 0.004045
1772611994.035452, 0.186299, -0.103250, -9.807847, -0.001496, 0.006086, 0.002069
1772611994.044830, 0.179565, -0.099958, -9.808595, 0.000763, 0.004691, 0.004179
1772611994.055330, 0.186598, -0.104746, -9.807398, -0.002410, 0.006016, 0.005863
1772611994.065406, 0.184653, -0.091279, -9.811887, -0.001197, 0.006585, 0.002497
1772611994.075447, 0.176123, -0.093374, -9.805752, 0.001388, 0.006478, 0.003053
1772611994.085398, 0.189890, -0.105195, -9.813234, 0.001149, 0.007113, 0.002039
1772611994.094896, 0.185551, -0.102502, -9.816526, -0.000785, 0.002719, 0.004061
1772611994.105353, 0.180613, -0.111929, -9.808745, -0.001750, 0.004926, 0.000882
1772611994.115474, 0.186299, -0.091429, -9.807249, 0.000448, 0.004655, 0.002271
1772611994.125410, 0.182259, -0.107141, -9.823858, -0.000588, 0.005689, 0.002387
1772611994.135587, 0.183605, -0.109385, -9.805603, 0.000197, 0.005313, 0.002324
1772611994.144766, 0.185850, -0.100706, -9.815928, -0.000137, 0.007658, 0.002131
1772611994.155541, 0.179864, -0.096666, -9.800814, -0.002082, 0.006461, 0.003463
1772611994.165591, 0.180313, -0.118812, -9.809942, -0.002596, 0.008147, 0.003843
1772611994.175493, 0.194828, -0.108188, -9.798719, -0.003769, 0.005184, 0.003864
1772611994.185555, 0.170437, -0.087837, -9.815628, -0.001242, 0.008961, 0.003330
1772611994.194791, 0.189591, -0.100108, -9.815179, -0.000033, 0.006952, 0.005812
1772611994.205399, 0.186299, -0.109086, -9.804106, -0.003074, 0.005445, 0.002405
1772611994.215488, 0.181062, -0.102202, -9.816825, -0.000685, 0.005804, 0.002651
1772611994.225424, 0.184653, -0.109684, -9.808595, -0.001548, 0.005771, 0.003472
1772611994.235409, 0.170437, -0.097264, -9.810241, -0.000334, 0.004388, 0.002787
1772611994.244758, 0.175974, -0.083199, -9.814730, -0.001812, 0.004707, 0.003187
1772611994.255448, 0.178518, -0.089932, -9.781810, -0.002278, 0.003733, 0.001919
1772611994.265421, 0.188693, -0.099060, -9.820566, -0.002201, 0.005329, 0.003617
1772611994.275406, 0.180762, -0.105195, -9.797971, -0.001069, 0.002941, 0.005134
1772611994.285399, 0.184802, -0.106093, -9.808745, -0.001753, 0.008915, 0.004246
1772611994.294557, 0.192733, -0.107141, -9.799767, -0.001753, 0.008915, 0.004246
1772611994.305622, 0.172383, -0.091578, -9.814132, -0.001131, 0.002695, 0.003398
1772611994.315418, 0.186598, -0.099808, -9.802161, -0.000920, 0.007091, 0.001867
